Type,textId,Text
DictionaryDatabaseShadows,20,Principe
DictionaryDatabaseShadows,21,"Dove si ferma il cerino. Il capo supremo di un dato dominio (di solito una città). Sono i Fratelli che non vuoi contrariare, quelli che si sono assicurati e hanno difeso la loro pretesa contro ogni altro contendente. «Principe» è un titolo neutro tra i vampiri, ed è per questo che anche Hellene Panhard, il capo supremo di New York, si definisce così."
DictionaryDatabaseShadows,22,Sire
DictionaryDatabaseShadows,23,Chi ti rende un succhiasangue. Il modo in cui un vampiro dice «genitore». Il mio era Caren.
DictionaryDatabaseShadows,24,Antidiluviani
DictionaryDatabaseShadows,25,"I progenitori di ogni Fratello appartenente ai 13 clan vampirici. Questi bastardi feroci della terza generazione hanno creato il mondo come lo conosciamo, e si dice che alcune caratteristiche del nostro Sangue vengano da loro. Grazie per avermi tagliata fuori da Internet, testa di cazzo mesopotamica… è quello che direi se non avessi la premonizione che un giorno, in qualche modo, potremmo rivederci."
DictionaryDatabaseShadows,26,Il Movimento Anarchico
DictionaryDatabaseShadows,27,"La setta organizzata alla buona degli outsider politici che si oppongono al paradigma moderno dominato dalla Camarilla. Vogliono porre fine alla tirannia degli Anziani, ma da quel che ho visto a New York hanno solo sostituito una gerarchia con un’altra, definita più vagamente."
DictionaryDatabaseShadows,28,Autarchici
DictionaryDatabaseShadows,29,"I «lupi gamma» della società dei Fratelli. Si sono isolati dagli affari di tutti noi, o perché così vogliono, o perché non hanno la minima idea di che cazzo stia succedendo. Non necessariamente affiliati al Movimento Anarchico, anche se ad alcuni - sì, Camarilla - non importa abbastanza da fare la distinzione."
DictionaryDatabaseShadows,30,Legame di Sangue
DictionaryDatabaseShadows,31,"La versione dei Fratelli di un legame da ossitocina, solo che è circa un milione di volte più forte di quello che provano i mortali con amici e partner, e ci aggiunge una spruzzata di misticismo vampirico. Il legame può formarsi tra un vampiro e un mortale, o tra due vampiri. Chi lo riceve deve bere il sangue del vampiro tre volte, direttamente dalla vena, e il risultato è una sensazione di euforia e ossessione. Sorsi ripetuti dal vampiro donatore prolungano l’attaccamento."
DictionaryDatabaseShadows,32,Caccia di Sangue
DictionaryDatabaseShadows,33,Punizione che sentenzia un vampiro alla Morte Ultima sotto le zanne dei suoi simili. Il codice dei Fratelli e il metodo di punizione dei trasgressori è la rappresaglia.
DictionaryDatabaseShadows,34,Caino
DictionaryDatabaseShadows,35,"Il patriarca di tutti i vampiri, se credi alle leggende. Alcuni vampiri si definiscono ancora Cainiti, membri della stirpe di Caino. Devo ancora vedere una prova concreta che sia stato una persona storica realmente esistita… e a quanto ho capito finora, lo stesso vale per molti succhiasangue più vecchi di me. Ma mi stupirei davvero, se lo fosse stato?"
DictionaryDatabaseShadows,36,Cappella
DictionaryDatabaseShadows,37,"Dove bazzicano i Tremere. Un posto tipo «un sacco di libri incrostati e beute fumanti», immagino."
DictionaryDatabaseShadows,38,Diablerie
DictionaryDatabaseShadows,39,"Cannibalismo vampirico. Succedono cose di ogni tipo quando un Fratello prosciuga il sangue di un altro Fratello fino alla Morte Ultima. La pratica è ampiamente aborrita, ma si dice che così un vampiro possa assorbire le qualità essenziali dell’altro. È anche uno dei modi in cui un succhiasangue può accrescere i propri poteri rendendo il Sangue più denso, se beve qualcuno più vecchio di lui. Quindi allettante, ma di nuovo, gravemente compromettente agli occhi di una società che vuole apparire civile."
DictionaryDatabaseShadows,40,Dominio
DictionaryDatabaseShadows,41,"L’area su cui un vampiro avrebbe il controllo. Ai livelli più alti può voler dire un’intera città, che è giurisdizione di un Principe. Di solito i Principi permettono la nascita di «domini vassalli» più piccoli entro i loro confini, o dividono i propri possedimenti tra servitori fedeli se ne traggono vantaggio. Però non è granché come dominio, se non riesci a farlo valere… ed è uno dei motivi per cui io non ne ho uno. D’altra parte, non credo che al Big Beat Burger mancherebbe a qualcuno, se mi importasse abbastanza da reclamarlo ufficialmente."
DictionaryDatabaseShadows,42,Anziano
DictionaryDatabaseShadows,43,"Qualche secolo di non-vita ti fa raggiungere questa grande tappa tra i Fratelli. Un Anziano è considerato tale solo dopo essere sopravvissuto ai propri simili per circa duecento anni. A quel punto avrà imparato le regole del grande meta-gioco della Jyhad, la vasta guerra nascosta combattuta da secoli tra i non-morti antichi. Gli Anziani sono i maestri di scacchi; tutti noi altri siamo solo i pezzi, eccetera eccetera."
DictionaryDatabaseShadows,44,Elysium
DictionaryDatabaseShadows,45,"Un tribunale per vampiri; o meglio, un luogo designato e pacifico dove possiamo andare a cercare una soluzione. Spesso «nascosto in piena vista» in edifici pubblici di rilievo usati anche dai mortali, come musei, gallerie d’arte e sedi istituzionali storiche. New York è piuttosto tipica da questo punto di vista: l’Elysium attuale è una galleria nel Queens che si chiama The Art Hole."
DictionaryDatabaseShadows,46,Generazione
DictionaryDatabaseShadows,47,"Il numero di discendenze che separano un vampiro da Caino, il mitico capostipite che ha creato la nostra specie. Meno sono i passaggi, maggiore sarà il potere del vampiro; ma lo saranno anche la sua maledizione e la sua Fame."
DictionaryDatabaseShadows,48,Ghoul
DictionaryDatabaseShadows,49,"Quello che ottieni dando a un mortale il tuo Sangue vampirico senza prima prosciugare il suo. Un sottoposto. Un lacchè. Uno schiavo. Al mio clan non piace granché usarli. Anzi, Caren riteneva il concetto stesso al di sotto di sé e si è rifiutata di spiegarlo."
DictionaryDatabaseShadows,50,Rifugio
DictionaryDatabaseShadows,51,"Da qualche parte una ragazza dovrà pur nascondersi dal sole, no? Ultimamente per me tende a essere casa di Dakota. È difficile che qualcuno mi capiti addosso per caso mentre dormo lì."
DictionaryDatabaseShadows,52,Fratelli
DictionaryDatabaseShadows,53,"Un termine di appartenenza tra vampiri. Si pensa sia stato coniato dopo una rivolta Anarchica di qualche tipo, ma la Camarilla non è che ne parli molto."
DictionaryDatabaseShadows,54,Vacche
DictionaryDatabaseShadows,55,"Un modo dispregiativo con cui i vampiri chiamano i mortali; viene da «Fratelli e vacche». Basta ricordare che le vacche si mungono, e il quadro è chiaro."
DictionaryDatabaseShadows,56,Il Bacio
DictionaryDatabaseShadows,57,"La parola elegante e romantica per una bella bevuta profonda di sangue mortale. Di solito chi lo riceve se lo gode quasi quanto chi lo dà, anche se non nello stesso modo. Per noi è sostentamento, e la cura di un bisogno radicato in profondità. Quasi tutte le persone da cui bevo restano stordite, ma felici."
DictionaryDatabaseShadows,58,Succhiatore
DictionaryDatabaseShadows,59,"Gli Anarchici usano questo termine informale al posto di «Fratelli». Da quel che ho capito, la Camarilla lo considera volgare. Non credo di averlo mai sentito all’Elysium."
DictionaryDatabaseShadows,60,La Masquerade
DictionaryDatabaseShadows,61,"La segretezza sistematica dei vampiri, costruita per nascondere il nostro mondo al genere umano e proteggerci. In sostanza la Masquerade è il nostro scudo contro la paura e l’ignoranza degli esseri umani. Non illudiamoci: se la stragrande maggioranza delle persone scoprisse che esistiamo, verremmo cacciati fino all’estinzione."
DictionaryDatabaseShadows,62,Neonato
DictionaryDatabaseShadows,63,"Un «adolescente» in termini da Fratelli. Ne sa più di un infante, ma è comunque Abbracciato da relativamente poco. Lo sono io, e ci vorranno decenni prima che mi stiano strette queste scarpe."
DictionaryDatabaseShadows,64,Seguace
DictionaryDatabaseShadows,65,"Un tirapiedi umano. I Fratelli tendono a tenerne qualcuno in orbita per il lavoro sporco. A volte assomiglia più a un lobbista che fa pressione su un politico, soprattutto se il servitore in questione è qualcuno di influente."
DictionaryDatabaseShadows,66,Il Sabbat
DictionaryDatabaseShadows,67,"Una setta estremista che si gode fino in fondo le proprie tendenze predatorie e non ha grande stima dei mortali. Ampiamente ritenuta coinvolta nello scatenare un conflitto escatologico tra vampiri noto come Guerra della Gehenna, negli ultimi decenni è stata cacciata dall’Occidente. Ho sentito che New York è stata controllata dal Sabbat fino al 1999. I Lasombra, il mio clan, erano le teste pensanti dietro quei pazzoidi, ma da allora abbiamo legato le nostre sorti a quelle della Camarilla."
DictionaryDatabaseShadows,68,La Seconda Inquisizione
DictionaryDatabaseShadows,69,"La filosofia della Guerra al Terrore, applicata a noi Fratelli. A un certo punto certi stronzi del DEEP STATE hanno deciso che il modo di gestire l’esistenza dei vampiri fosse trattarci da terroristi. Eppure gli agenti che conducono queste operazioni contro di noi spesso non hanno idea di che diavolo stia succedendo, perché la collaborazione tra agenzie creata per darci la caccia non dice niente a nessuno se non è strettamente necessario. Tra i Fratelli il termine è quasi sempre abbreviato in «SI»."
DictionaryDatabaseShadows,70,Setta
DictionaryDatabaseShadows,71,"Un gruppo di vampiri uniti non dalla discendenza ma dall’ideologia. I due esempi più noti sono gli Anarchici e la Camarilla. Non sorprende che questi due siano anche in aperta opposizione, e che si allontanino sempre di più."
DictionaryDatabaseShadows,72,Vena
DictionaryDatabaseShadows,73,Modo garbato per dire fonte di sangue. Di solito bipede.
DictionaryDatabaseShadows,74,Marmocchio
DictionaryDatabaseShadows,75,Non molto diverso dall’uso umano arcaico. «Marmocchia» è come chiami tuo figlio quando sta combinando disastri. Qadir adora usarlo per mettermi al mio posto ogni tanto.
DictionaryDatabaseShadows,76,Corte
DictionaryDatabaseShadows,77,La gerarchia di governo dei Fratelli. In pratica il feudalesimo con un altro nome. In cima c’è un Principe. Sotto di lui (o di lei) i Primogeniti. Uno Sceriffo che risponde anch’esso al Principe. E via così. Le questioni si trattano in santuari segreti chiamati Elysium. Nota: questa struttura vale a livello cittadino; oltre quello l’organizzazione della Camarilla diventa assurdamente bizantina.
DictionaryDatabaseShadows,78,Sceriffo
DictionaryDatabaseShadows,79,"Un ufficiale nominato che fa rispettare gli editti del Principe e, se Qadir è un metro di paragone, un vero rompiscatole. Uno Sceriffo dà la caccia ai traditori e a chi viola le Tradizioni. Di norma solo i colpevoli più gravi vengono catturati e riportati indietro per essere giudicati davanti alla Corte riunita. Nei casi minori gli Sceriffi fanno da giudice, giuria e boia."
DictionaryDatabaseShadows,80,Il Consiglio dei Primogeniti
DictionaryDatabaseShadows,81,"I consiglieri del Principe, di solito Anziani (anche se a New York sono soprattutto i più giovani cosiddetti Ancilla), che rappresentano gli interessi dei Fratelli locali. Per tradizione a ogni clan, fazione o setta importante spetta un posto nel consiglio. Questa impostazione favorisce naturalmente la Camarilla, anche se chiunque può portare le proprie lamentele a un Primogenito che non sia del suo clan. Poche altre regole stabiliscono chi possa diventare Primogenito, ma negli ultimi decenni i vecchi paradigmi sono cambiati in fretta. Qui il Principe Panhard chiede spesso il parere del Consiglio, ma non è un segreto che usi i Primogeniti soprattutto per confermare una linea d’azione su cui ha già deciso."
DictionaryDatabaseShadows,82,Le Tradizioni
DictionaryDatabaseShadows,83,"Le Sei Tradizioni formano le fondamenta della legge moderna dei Fratelli. La Prima Tradizione è la Masquerade («Non rivelare la tua vera natura») - non lasciare che nessuno capisca che sei un vampiro. Considerata la più importante del gruppo, ma è… interpretata abbastanza liberamente, e spesso. La Seconda Tradizione è il Dominio («Il tuo Dominio è una questione solo tua. Tutti gli altri ti devono rispetto quando si trovano su di esso») - sono troppo una nessuno per avere un Dominio, quindi questa non mi riguarda. La Terza Tradizione è la Progenie («Genererai un altro come te solo con il permesso del tuo Anziano») - in pratica il controllo delle nascite, ma per vampiri: niente nuovi succhiasangue se qualcuno (di solito il Principe) non è d’accordo. La Quarta Tradizione è la Responsabilità («Coloro che crei sono i tuoi Infanti (...) I loro peccati sono anche i tuoi») - se combino un disastro serio, Caren dovrebbe affrontarne le conseguenze… in teoria. La Quinta Tradizione è l’Ospitalità («Onora il Dominio di un altro (...) Senza una parola di accoglienza, tu non sei nulla») - a New York di solito si intende come «non cacciare nel territorio di qualcun altro», ma in una città che ospita più di 8 milioni di mortali questa viene fatta rispettare con molta indulgenza. La Sesta Tradizione riguarda la Distruzione («Ti è proibito distruggere un altro della tua specie. Il diritto di distruzione appartiene solo ai tuoi Anziani») - non puoi uccidere un vampiro finché il Principe non ti dà il via libera. Come Sceriffo, Qadir quel via libera ce l’ha implicito."
DictionaryDatabaseShadows,84,Arpia
DictionaryDatabaseShadows,85,"Un maestro assoluto del pettegolezzo tra i Fratelli. Spesso baratta la propria «saggezza» in cambio di favori o vantaggi politici. Anche se «Arpia» è nato come insulto, alcuni se lo sono ripresi e lo portano come una medaglia. In fondo, a chi non serve un amico che ha del marcio su tutti?"
DictionaryDatabaseShadows,86,Reggente
DictionaryDatabaseShadows,87,"I «presidi» delle scuole dei Tremere, dette anche Cappelle. Ogni Cappella ha un Reggente che sovrintende all’istruzione di tutti i Tremere che la frequentano. I Reggenti possono anche avere un posto nel Consiglio dei Primogeniti ed essere attivi nelle difese strategiche del clan."
DictionaryDatabaseShadows,88,Frusta
DictionaryDatabaseShadows,89,Una persona molto sgradevole il cui unico compito è dare la caccia ai vampiri «nati sbagliati» - qui vuol dire soprattutto i Sangue Debole. Sottoposta direttamente al Principe.
DictionaryDatabaseShadows,90,Barone
DictionaryDatabaseShadows,91,"Un Anarchico potente. In pratica un signore della guerra. I Baroni sono spesso vampiri arrivati dal basso che si sono presi con la forza il controllo di un edificio o perfino di un isolato. A New York, soprattutto nel caso di Douglas Callihan, a me sembra spesso sospettosamente una forma di governo tradizionale."
DictionaryDatabaseShadows,92,La Piramide
DictionaryDatabaseShadows,93,"L’antica gerarchia rigidissima dei Tremere. Un tempo definita dai Legami di Sangue tradizionali, la caduta di Vienna l’ha ridotta in macerie. Da allora il loro Sangue ha perso la capacità di formare quei legami, e ogni stregone con una grande idea si azzuffa per il potere."
DictionaryDatabaseShadows,94,La Torre D'Avorio
DictionaryDatabaseShadows,95,"Un altro nome per la Camarilla, di solito usato in contesti meno ufficiali e ogni tanto dispregiativi."
DictionaryDatabaseShadows,96,Clan Brujah
DictionaryDatabaseShadows,97,"Il clan Brujah è fatto di rivoluzionari, bastian contrari, oppressi e diseredati. Ha sempre Abbracciato tra le fila di chi va controcorrente, dai punk ai membri delle gang fino ai lanciatori di bombe di professione. Eppure il clan non aderisce a nessuna ideologia unica. Come quasi tutte le organizzazioni che fanno leva sulle emozioni grezze dei giovani e degli esclusi, l’adesione del clan agli ideali di chi Abbraccia di solito è solo di facciata. Gli infanti Abbracciati per combattere e protestare vengono comunemente chiamati Ribelli, Punk o Marmaglia."
DictionaryDatabaseShadows,98,Clan Gangrel
DictionaryDatabaseShadows,99,"Il clan Gangrel è fatto di chi è scivolato attraverso le crepe della società. Chiamano casa i quartieri più crudeli, e ne vanno fieri. Hanno pochi domini e non seguono nessun Principe. Questo clan Abbraccia tra le fila di chi ha già versato sangue e se l’è visto versare, di chi è sopravvissuto alle condizioni più dure, di chi ha combattuto contro ogni probabilità uscendone comunque in piedi: capi di gang carcerarie, vagabondi e qualunque altra vacca abbia visto i lati più oscuri di questo mondo. Ogni tanto, mi dicono, ne trovi uno che rompe lo schema e insegue invece il sapere o l’influenza. Tra i Gangrel il rispetto è tutto, e va sempre guadagnato, mai concesso. Chiamati comunemente Lupi, Ferini e Reietti; oppure, se vuoi farli incazzare, Animali, Randagi o Selvaggi."
DictionaryDatabaseShadows,100,Clan Malkavian
DictionaryDatabaseShadows,101,"«Il Clan della Luna» si è guadagnato la fama di ricettacolo di psicopatici totali. Eppure c’è una logica contorta nella follia dei Figli di Malkav. La loro condizione sembra nascere dall’aver guardato troppo a fondo nella rete di connessioni che governa il mondo: dall’aver imparato troppo, visto troppo, sentito troppo. Il Sangue è il modo in cui si automedicano. Tutti i Malkavian subiscono un crollo mentale dopo l’Abbraccio. Spesso è l’aggravarsi di un disturbo (o di più disturbi) già presenti. Ma a volte è del tutto nuovo. Descritti al meglio come «instabili», non c’è modo di prevedere quando un Malkavian sbroccherà, o se ne uscirà con un’intuizione inaspettatamente saggia. Chiamati Oracoli, Buffoni o Visionari se sei gentile; Pazzi, Zavorre e Lunatici se non lo sei."
DictionaryDatabaseShadows,102,Clan Nosferatu
DictionaryDatabaseShadows,103,"«Il Clan Velato» sono gli intoccabili del nostro mondo. Lebbrosi. Topi di Fogna. Fenomeni. Pustole. Orlok. L’Abbraccio da parte di un Nosferatu produce una deformazione estrema, un brutto effetto collaterale del loro Sangue. Le loro mostruosità possono imitare malformazioni congenite, escrescenze tumorali o ferite orribili. Ma i Nosferatu sono, per impostazione predefinita, i più compassionevoli tra i Fratelli, probabilmente per via delle umiliazioni che subiscono ogni giorno. Per confondersi, alcuni si affidano al Sangue per indossare i volti presi in prestito dalle vittime o per sparire del tutto. Altri diventano molto, molto bravi con i trucchi del mestiere: costumi, protesi e trucco."
DictionaryDatabaseShadows,104,Clan Toreador
DictionaryDatabaseShadows,105,"I più artistici tra i Fratelli. I Toreador traggono le proprie fila dalla classe creativa, dai pittori ai creatori di contenuti digitali. Il Clan della Rosa vanta molti (ex) attori, cantanti, scrittori e ballerini famosi, e perfino lavoratori del sesso di gran nome. L’obiettivo, ovviamente, è riempire il clan Toreador solo con il meglio del meglio, ma la sua fissazione superficiale per la giovinezza e la bellezza ha portato a molte… decisioni affrettate. Sotto quel tetto ci sono probabilmente più meteore di quante ne vogliano ammettere. E anche parecchie dive insopportabili e «influencer». Qadir è uno di loro, ma sorprendentemente non mostra molti dei tratti tipici - se non forse il tenersi impeccabile in ogni momento."
DictionaryDatabaseShadows,106,Clan Tremere
DictionaryDatabaseShadows,107,"Chiamato come il mago ermetico dell’ottavo secolo i cui seguaci (per un breve periodo) terrorizzarono il mondo, i membri del clan Tremere oggi riescono a praticare le loro arti taumaturgiche che piegano la realtà solo dopo aver consumato Sangue fresco. Questo perché i Tremere di un tempo combinarono un disastro nella loro caccia ostinata all’immortalità e furono condannati. Di recente sono precipitati in un grande scisma tra casate rivali che si contendono il titolo di «legittimo erede» dell’eredità del loro omonimo. Vita da rari artefatti antichi. Tra i soprannomi: Stregoni, Ermetici o Trasgressori."
DictionaryDatabaseShadows,108,Clan Ventrue
DictionaryDatabaseShadows,109,"Figli di puttana in stile Wall Street, quelli veri. Con i Ventrue il gioco si chiama potere e ricchezza, punto. Guide storiche della Camarilla, detengono più posizioni di potere di qualunque altro clan, e la cosa non cambierà tanto presto. Credono nella discendenza sopra ogni cosa. Chi un sire sceglie come infante può consacrare o rovinare la sua posizione nel clan. I Ventrue puntano spesso ad Abbracciare i ben introdotti e chi sta all’apice del proprio settore. Una critica ricorrente è che il loro obiettivo non sia niente di meno del dominio su tutti i Fratelli, a qualunque costo. Tra i soprannomi sussurrati alle loro spalle puoi sentire Signorotti, Borgia e Tiranni; quelli più rispettosi sarebbero Sangue Blu, Patrizi o Signori della Guerra. Non sorprende che il Principe Panhard sia una di loro, forse anche per il fatto che il suo Sire fu Principe fino alla sua prematura dipartita nel 1999. Molti di loro odiano i Lasombra con tutto il cuore."
DictionaryDatabaseShadows,110,Sangue Debole
DictionaryDatabaseShadows,111,"Vampiri senza clan il cui Sangue è così diluito da renderli difficili da distinguere dagli umani, tolti i tatuaggi a mezzaluna impressi dal sole in modo irreversibile che in certi Domini devono portare per mostrare il proprio stato. I Sangue Debole hanno subito decenni di pogrom, pregiudizi e discriminazioni, ma nonostante questo il loro numero sta crescendo. L’aspetto che li fa «passare per umani», unito al gusto per certe stramberie di stampo alchemico, dà loro la capacità di prosperare fuori dalla società dei Fratelli. Il bigottismo e la violenza contro i Sangue Debole sono piuttosto normalizzati tra i Fratelli, al punto che non è affatto raro sentirne parlare come di una minaccia alla Masquerade, o sentire che ne è stato ucciso qualcuno. Il buffo è che la Camarilla di New York li riconosce e offre loro perfino l’adesione, ma sono cittadini di terza classe nella migliore delle ipotesi, e il loro rappresentante tra i Primogeniti è considerato nel migliore dei casi lo zimbello del Consiglio, nel peggiore uno schiaffo in faccia agli altri membri. Anche se in teoria qui stanno meglio che in altri domini della Camarilla, quando escono dalle righe - consapevolmente o no - il verdetto tende a essere la Morte Ultima, quasi senza pensarci. A volte chiamati Deboli o Scarti. Tra i soprannomi meno velenosi: Giovani, Camaleonti o Crepuscolari."
DictionaryDatabaseShadows,112,Clan Banu Haqim
DictionaryDatabaseShadows,113,"I Banu Haqim (in passato chiamati «Assamiti», ma ormai è praticamente un insulto) sono un’aggiunta recente alla Camarilla, ci sono entrati solo pochi anni fa. Prima erano indipendenti sia dalla Cam che dagli Anarchici, e venivano usati come assassini a pagamento. E pare fossero pure molto bravi in quel lavoro. Oggi mi sembra si siano rifatti l’immagine come custodi della legge, il che dà loro ancora l’occasione ogni tanto di dare la caccia a qualcuno, ma non più in cambio di Sangue (come voleva la tradizione)… o almeno, non apertamente. L’unica del clan che conosco bene - Samira - è piuttosto reticente su questo aspetto dei Banu Haqim, ma da altre fonti ho saputo che i membri del clan hanno un piccolo problema col bere. Una volta assaggiato il Sangue di un altro Fratello, faticano a fermarsi. La loro inclusione nella Camarilla sembra aver creato malumori tra i Tremere, dato che anche gli Uomini di Legge usano una forma di stregoneria del sangue per potenziare le proprie capacità e osservano rituali diversi - alcuni chiaramente di matrice religiosa, non da ultimo per il fatto che il clan è tradizionalmente legato all’Islam e al Medio Oriente in generale."
DictionaryDatabaseShadows,114,Clan Lasombra
DictionaryDatabaseShadows,115,"Siamo noi, il Clan della Notte. Gli altri Fratelli ci chiamano Magisteri, Mistici dell’Abisso o Voltagabbana (se vogliono rimarcare che negli ultimi anni molti Lasombra hanno cambiato setta). Per come la raccontava Caren, eravamo le teste pensanti dietro il Sabbat, un gruppo piuttosto sgradevole che operava in opposizione alla Camarilla. Loro se ne sono andati in Medio Oriente per la maggior parte, ma una fetta consistente del mio clan si è chiamata fuori e ha cambiato bandiera. Per tradizione eravamo radicati nella Chiesa cattolica in Europa, ma non per motivi mistici: la nostra via era quella della coercizione e del burattinaio, quindi tirare i fili di leader religiosi importanti era solo un mezzo. Il Clan della Notte è anche al limite del darwinismo nella sua filosofia sull’Abbracciare nuovi membri. Il periodo più di merda della mia vita è stato orchestrato interamente da Caren per vedere se ero buon materiale Lasombra: i perdenti che si fanno calpestare senza reagire non gli interessano. E poi c’è il buio… ci sto ancora facendo i conti, ma a quanto pare per noi le ombre non sono semplici assenze di luce - sono aperture su una specie di inferno, e possiamo usarle, o perfino servircene per contattare i morti. Il rovescio della medaglia? Condividiamo un classico tratto vampirico: non abbiamo un riflesso nitido. La cosa si estende al non andare d’accordo con le telecamere e, per estensione, all’avere problemi con la tecnologia in generale."
DictionaryDatabaseShadows,116,Noddismo
DictionaryDatabaseShadows,117,"Le credenze religiose e gli studi che riguardano le origini dei Fratelli e il mito di Caino, il (presunto) vampiro capostipite."
Other,2,• Leale fino alla fine
Other,3,• Leale solo a me stessa
